iter	Passed	Remaining
735	1646	590
736	1647	587
737	1648	585
738	1650	582
739	1651	580
740	1654	578
741	1656	575
742	1657	573
743	1658	570
744	1659	568
745	1660	565
746	1662	562
747	1663	560
748	1664	557
749	1665	555
750	1667	552
751	1671	551
752	1672	548
753	1673	546
754	1675	543
755	1676	541
756	1677	538
757	1678	535
758	1680	533
759	1681	531
760	1685	529
761	1687	526
762	1688	524
763	1689	521
764	1691	519
765	1692	517
766	1694	514
767	1695	512
768	1697	509
769	1700	507
770	1701	505
771	1702	502
772	1703	500
773	1705	497
774	1706	495
775	1707	492
776	1708	490
777	1710	487
778	1711	485
779	1714	483
780	1715	481
781	1716	478
782	1718	476
783	1719	473
784	1720	471
785	1724	469
786	1727	467
787	1729	465
788	1731	462
789	1732	460
790	1733	458
791	1734	455
792	1735	453
793	1737	450
794	1738	448
795	1739	445
796	1743	444
797	1744	441
798	1745	439
799	1747	436
800	1748	434
801	1749	431
802	1750	429
803	1751	427
804	1752	424
805	1754	422
806	1756	420
807	1758	417
808	1760	415
809	1761	413
810	1762	410
811	1763	408
812	1764	405
813	1765	403
814	1766	401
815	1768	398
816	1769	396
817	1773	394
818	1774	392
819	1775	389
820	1776	387
821	1777	384
822	1778	382
823	1780	380
824	1781	377
825	1782	375
826	1784	373
827	1786	371
828	1788	368
829	1789	366
830	1791	364
831	1793	362
832	1795	359
833	1796	357
834	1798	355
835	1804	353
836	1805	351
837	1806	349
838	1808	346
839	1809	344
840	1810	342
841	1811	339
842	1812	337
843	1813	335
844	1814	332
845	1817	330
846	1819	328
847	1820	326
848	1821	324
849	1823	321
850	1826	319
851	1827	317
852	1828	315
853	1830	312
854	1833	310
855	1834	308
856	1835	306
857	1837	304
858	1838	301
859	1839	299
860	1840	297
861	1841	294
862	1842	292
863	1844	290
864	1845	288
865	1847	285
866	1848	283
867	1850	281
868	1851	279
869	1852	276
870	1854	274
871	1855	272
872	1856	270
873	1858	267
874	1859	265
875	1862	263
876	1863	261
877	1865	259
878	1866	256
879	1867	254
880	1868	252
881	1869	250
882	1871	247
883	1872	245
884	1873	243
885	1877	241
886	1879	239
887	1881	237
888	1882	235
889	1884	232
890	1885	230
891	1887	228
892	1889	226
893	1895	224
894	1897	222
895	1901	220
896	1902	218
897	1903	216
898	1907	214
899	1910	212
900	1912	210
901	1914	207
902	1915	205
903	1916	203
904	1917	201
905	1918	199
906	1920	196
907	1923	194
908	1926	192
909	1927	190
910	1928	188
911	1929	186
912	1931	184
913	1932	181
914	1933	179
915	1934	177
916	1938	175
917	1940	173
918	1941	171
919	1942	168
920	1943	166
921	1944	164
922	1945	162
923	1946	160
924	1948	157
925	1949	155
926	1952	153
927	1954	151
928	1956	149
929	1957	147
930	1959	145
931	1961	143
932	1963	140
933	1967	139
934	1974	137
935	1976	135
936	1978	133
937	1983	131
938	1985	128
939	1988	126
940	1990	124
941	1992	122
942	1998	120
943	2001	118
944	2002	116
945	2006	114
946	2008	112
947	2012	110
948	2014	108
949	2016	106
950	2017	103
951	2020	101
952	2022	99
953	2023	97
954	2026	95
955	2029	93
956	2031	91
957	2034	89
958	2036	87
959	2038	84
960	2043	82
961	2045	80
962	2046	78
963	2048	76
964	2051	74
965	2052	72
966	2057	70
967	2059	68
968	2061	65
969	2068	63
970	2071	61
971	2073	59
972	2075	57
973	2077	55
974	2081	53
975	2084	51
976	2086	49
977	2089	46
978	2098	45
979	2101	42
980	2103	40
981	2152	39
982	2154	37
983	2156	35
984	2157	32
985	2159	30
986	2162	28
987	2164	26
988	2165	24
989	2167	21
990	2170	19
991	2173	17
992	2176	15
993	2177	13
994	2179	10
995	2180	8
996	2185	6
997	2188	4
998	2199	2
999	2201	0
